Player;Age;Tm;PER;TRB%;AST%;STL%;BLK%
Calvin Murphy;33;HOU;13.2;2.8;20.6;1.8;0
Vinnie Johnson;25;DET;14.7;6.6;18.6;1.9;1.1
Orlando Woolridge;22;CHI;13.4;10.8;10.1;0.9;1.1
Scott May;27;MIL;16.7;10.5;15.6;2;0.3
Alton Lister;23;MIL;11.5;18.7;9.2;0.7;5.8
Larry Nance;22;PHO;14.7;11.9;10;1.7;3.4
Rick Robey;26;BOS;11;13.7;7.5;1.1;0.6
Walter Davis;27;PHO;18.3;4.8;23.3;1.9;0.1
Kevin Loder;22;KCK;12.9;9.6;10.7;1.4;1.5
Mark Landsberger;26;LAL;10.3;19.3;3.3;0.4;0.3
Pat Cummings;25;MIL;11.1;12.4;12.5;0.9;0.5
Kurt Rambis;23;LAL;12.8;16.8;5.6;2.5;3.6
Darryl Dawkins;25;PHI;15;15.3;6.7;0.8;2.8
Phil Hubbard;25;DET;13.5;13.5;8.5;1.6;0.8
Leon Douglas;27;KCK;6.5;14.9;3.8;0.6;2
Kurt Nimphius;23;DAL;12;15.5;7.7;0.8;4.4
Danny Vranes;23;SEA;11.2;10;6.9;1.3;1.1
Sam Williams;22;GSW;14.8;15.7;4.6;2;4
John Duren;23;UTA;7;4.3;18.2;0.9;0.2
Scott Lloyd;29;DAL;5.9;8.9;8.5;0.7;0.4
Clint Richardson;25;PHI;9.8;6.4;13.5;1.7;0.5
Mike Bantom;30;IND;12.6;11.2;9.8;1.8;1.3
Sam Pellom;30;ATL;10.3;12.5;3.9;1.4;2.8
Larry Kenon;29;CHI;11.2;9.9;9.5;1.4;0.4
Butch Carter;23;IND;11.1;4.1;8.8;1.6;0.6
John Douglas;25;SDC;12.1;5.2;19.6;2.2;0.5
Jim Brogan;23;SDC;13;7;20.6;2.3;0.7
Otis Birdsong;26;NJN;13.3;5.3;18.2;1.4;0.3
Michael Wiley;24;SDC;16.2;10.7;7.3;1.9;0.9
Coby Dietrick;33;CHI;10.8;10.7;11.5;2.4;1.7
Mike Bantom;30;PHI;12.7;13;6.3;1.2;2.2
Mike Mitchell;26;CLE;14.2;8.2;6.4;1.3;0.9
Jim Brewer;30;LAL;10.1;14.9;4.8;1.9;2.5
Earl Cureton;24;PHI;12.8;15.9;4.4;1.5;1.6
Cliff Robinson;21;CLE;18.1;17.1;7.9;2.1;2.6
Dudley Bradley;24;PHO;10.9;5.1;11.4;4;0.6
Bill Laimbeer;24;DET;16.5;19.9;7.9;0.8;2
Junior Bridgeman;28;MIL;16;7.8;17.6;1.5;0.2
Reggie Carter;24;NYK;9.4;5.9;18.5;1.9;0.4
Tom LaGarde;26;DAL;7.6;13.2;7.3;0.9;1.1
Sonny Parker;26;GSW;12.6;10.7;12.5;2.1;0.7
Bill Laimbeer;24;CLE;14.2;17.5;6.9;1.2;1.9
Jim Chones;32;WSB;8.6;11.7;9.6;0.8;2.1
James Wilkes;23;CHI;11.8;10.5;10.6;1.7;1.2
Calvin Garrett;25;HOU;8.4;6.1;11.6;1.8;0.4
Jim Smith;23;SDC;9.2;12.6;6.7;1.2;3.4
Petur Gudmundsson;23;POR;7.9;12.3;8.5;0.7;2
Charlie Criss;33;SDC;13.1;3.1;18.1;1.2;0.3
Wes Matthews;22;ATL;12.6;3.9;25.5;3.2;0.1
Mike Glenn;26;ATL;16;4.1;16.9;1.6;0.2
Mitch Kupchak;27;LAL;15.2;13.9;5;0.7;0.6
Freeman Williams;25;SDC;16.4;3.7;13.6;1.3;0
Billy Paultz;33;HOU;7.7;12.3;6.6;0.9;1.5
Edgar Jones;25;DET;17.5;14.1;6.9;1.6;6.3
Jerry Sichting;25;IND;10.2;3.7;20.1;2;0.1
Joe Hassett;26;GSW;13.4;3.7;17.9;1.8;0.2
Reggie Johnson;24;KCK;15.7;13.5;5.7;1.2;2
Major Jones;28;HOU;13.4;15;4.6;1.3;2.2
Bob McAdoo;30;LAL;14.4;11.6;5.5;1.4;2.6
Mike Gminski;22;NJN;15.3;14.2;7.7;1.1;3.8
Phil Hubbard;25;CLE;13.3;15.4;4.7;1.8;0.2
George Johnson;25;IND;12.3;16.3;8.2;2.4;2
Al Wood;23;SDC;14.6;7.7;9.8;1.5;0.7
Bill Robinzine;29;UTA;11.3;11.9;10.3;2.6;0.4
Sam Lacey;33;NJN;7.2;9;14.3;1.4;3.3
Ed Rains;25;SAS;8.2;6.7;7.7;1.3;0.2
Reggie Johnson;24;CLE;12.7;11.4;5;0.5;1.6
Jeff Lamp;22;POR;9.8;5.8;6;1.2;0.1
Roger Phegley;25;SAS;12.8;7.2;13.6;1.5;0.5
Eddie Jordan;27;LAL;12.2;3.9;25.6;4.7;0.1
Kenny Dennard;23;KCK;11.1;12.3;8.6;2.7;0.8
Phil Smith;29;SEA;11.5;6.3;16.8;1.8;0.7
Ron Brewer;26;SAS;21.5;4.5;17.9;1.8;0.6
Charles Davis;23;WSB;10.7;12.6;7.7;0.8;1.3
Swen Nater;32;SDC;16.4;19.9;7.2;0.5;0.9
Roger Phegley;25;CLE;13.3;7.1;13.9;1.4;0.2
Danny Ainge;22;BOS;10.1;5.5;19.7;3.1;0.3
Greg Kelser;24;SEA;12.2;15;10.9;1.1;1.4
Charlie Criss;33;ATL;13.6;3.9;20.7;2.1;0.2
Toby Knight;26;NYK;13;8.5;5.9;1.2;1.2
Joel Kramer;26;PHO;10.4;10.9;11.8;1.7;1.1
Ray Blume;23;CHI;9.7;4.3;18.9;2;0.2
Paul Mokeski;25;DET;7.1;12.8;5.7;1.1;2.4
Reggie Johnson;24;SAS;13.7;14.6;5.3;0.7;1.7
John Roche;32;DEN;11.8;2.5;20.5;1.3;0.2
John Lambert;29;KCK;8.1;14.5;6.2;1.1;1.2
Garry Witts;22;WSB;9.5;6.9;10.2;1.7;0.5
Ray Tolbert;23;SEA;10.5;10.9;7;0.8;1.6
Armond Hill;28;SDC;4.6;3.3;20.4;1.6;0.4
Paul Griffin;28;SAS;8.5;11.1;13.6;2;1
Jan Van Breda Kolff;30;NJN;10.2;6;8.9;1.2;1.7
Paul Westphal;31;NYK;13.3;2.8;31.8;2;1
Kenny Carr;26;DET;12.7;16.9;7.2;0.6;0.7
Kermit Washington;30;POR;11.7;15.6;8.4;1;2.1
Steve Hayes;26;DET;10.9;13.3;7.4;0.3;2.4
Tracy Jackson;22;CHI;12.2;7;7.9;1.3;0.4
Joe Meriweather;28;KCK;12.2;13;5.7;1.6;3.2
Mark Radford;22;SEA;10.3;4.3;20.9;2.1;0.3
Larry Demic;24;NYK;5.7;12.7;5;0.5;1
Mike McGee;22;LAL;11.7;7.6;6;2.4;0.5
Jim McElroy;28;ATL;9.3;2.8;17;1.2;0.5
Paul Mokeski;25;CLE;11.1;14.1;4.2;2.8;2.8
Howard Wood;22;UTA;12;10.2;3.4;1.1;0.9
Charles Bradley;22;BOS;8.9;6.2;8.5;2;1
Kevin Restani;30;CLE;7.1;12.9;5.6;1.4;1.2
Bobby Cattage;23;UTA;10.5;11.6;2.8;1;0
Hank McDowell;22;GSW;10.5;16.3;7.3;0.8;1.3
Alex Bradley;22;NYK;12.4;11.2;4.6;1.7;0.9
Robert Smith;26;MIL;10.6;2.5;19.1;1.5;0.2
Richard Washington;26;CLE;7.1;13.5;6.8;1.2;0.4
Alan Hardy;24;DET;10.5;6;9.2;1.3;0.7
Franklin Edwards;22;PHI;13.7;5.2;22.5;2.6;1
John Lambert;29;SAS;8.3;10.1;5.7;1;1.2
Keith Herron;25;CLE;6.8;4.4;12;1.4;0.4
Hawkeye Whitney;24;KCK;5.4;8.4;8.8;2.1;0.2
James Ray;24;DEN;10.2;13.3;12.3;1.7;3.1
Dave Robisch;32;DEN;17.9;13.1;15.2;0.5;0.8
Jeff Judkins;25;DET;7.7;7.4;7.2;1.1;1.1
Clarence Kea;22;DAL;11;14;7.5;0.8;0.7
Armond Hill;28;SEA;7.4;5.6;12.8;1;0.5
Al Wood;23;ATL;9.1;10.5;7;1.9;0.3
Kevin McKenna;23;LAL;2.8;6.7;6.8;2;0.4
Kevin Kunnert;30;POR;6.4;15.5;9.1;0.6;1.4
Mickey Dillard;23;CLE;7;3.8;21.1;1.8;0.5
Geoff Crompton;26;MIL;3.6;11.6;7.6;1.4;3.4
Eric Fernsten;28;BOS;8.1;11.5;4.8;1.2;1.9
Don Ford;29;CLE;3.7;9.8;6.7;1.9;0
Mike Evans;26;MIL;7.2;3.5;14.5;2.2;0
Freeman Williams;25;ATL;11.2;3.6;17.2;1.6;0
John Johnson;34;SEA;9.8;5.2;20.2;1;0.9
Brad Holland;25;WSB;8.2;3.8;12.2;2.9;0.3
Greg Kelser;24;DET;10.7;11.7;9.3;1.3;2.1
James Bailey;24;SEA;8.7;14.5;10.2;0.8;2.1
Brad Branson;23;CLE;8.4;10.6;4.6;1.4;1.3
Bob Dandridge;34;MIL;5.2;5.6;9.7;1.4;0.7
Ollie Johnson;32;PHI;12.4;8.3;9.1;4.1;1.2
Ollie Mack;24;DAL;7.9;6.9;12.7;1.6;0.4
Terry Duerod;25;BOS;12.5;5.7;11.9;1;0.4
Kevin Restani;30;SAS;4.8;12.9;5.5;0.3;1.5
Mike Woodson;23;NJN;15.1;5.1;16.3;2.2;0.8
Jawann Oldham;24;HOU;6.5;10.7;3.1;0.8;4.6
Dennis Awtrey;33;POR;1.6;6.5;7.5;0.4;0.9
Hollis Copeland;26;NYK;7.5;2.4;10.1;1.6;1
Ray Tolbert;23;NJN;9.1;13.3;9.8;1.6;1
Vinnie Johnson;25;SEA;12;7.8;13.3;2.8;1.1
Craig Dykema;22;PHO;11.1;6.4;20.2;0.9;0
Lewis Lloyd;22;GSW;14.8;9.2;9.6;2.5;0.6
Raymond Townsend;26;IND;4.4;7.4;14.5;1.5;0
Kevin Stacom;30;MIL;4;4.5;10.5;0.5;0
Steve Hayes;26;SAS;9.7;12.1;6.4;0.6;1.5
Mike Evans;26;CLE;7.5;7.6;38;2.6;0
Rich Yonakor;23;SAS;20.4;20.7;5.8;0.7;1.6
Lowes Moore;24;CLE;21.5;3.2;36.4;4.1;0.8
Ron Davis;27;SDC;6.6;11.6;8;0;0
Tracy Jackson;22;BOS;9.8;10;9.8;2.2;0
Clay Johnson;25;LAL;12.8;10.1;13.2;2.1;2.5
Carlos Terry;25;WSB;3.1;10.9;16.5;2.4;0.9
David Burns;23;DEN;5.3;3;22.8;1.6;0
Larry Spriggs;22;HOU;11.7;9;15.5;2.7;0
David Burns;23;NJN;0.9;3.3;14.2;1.4;0
Roger Burkman;23;CHI;15.5;11.3;19.7;9.7;3.7
Jackie Robinson;26;CHI;8;5.9;0;0;0
Glenn Hagan;26;DET;18.1;8.8;41.1;5.5;0
DeWayne Scales;23;NYK;1;11.9;0;2;2.4
John McCullough;25;PHO;30.7;9.6;26.4;4.2;0
Mel Bennett;27;CLE;-2.7;7.4;0;2.1;0
Sam Worthen;24;UTA;1.9;2.4;16.3;0;0
Craig Shelton;24;ATL;5.8;8.1;0;2.4;0
Sam Lacey;33;KCK;15.6;11.2;26.4;4.7;2.9
Joe Cooper;24;NJN;1.3;10.3;0;0;0
Rock Lee;26;SDC;1;6;25;0;0
Brad Holland;25;MIL;-21.5;0;24.8;0;0
Carl Bailey;23;POR;-6.8;0;0;0;0
Larry Wright;27;DET;-17.2;0;0;0;0
Isiah Thomas;21;DET;18.9;5.5;30.3;2.9;0.5
Rick Mahorn;24;WSB;11.6;14.3;5.4;1.4;2.8
Mychal Thompson;28;POR;15.4;14;17.8;1.1;2.1
Joe Barry Carroll;24;GSW;20.1;12.5;8.6;1.7;2.9
Alex English;29;DEN;24.1;10.2;19.5;1.7;2.1
Larry Bird;26;BOS;24.1;15.7;22.4;2.3;1.3
Buck Williams;22;NJN;18.6;19.6;5.9;1.4;2.2
Eddie Johnson;23;KCK;15.9;9.2;10.4;1.1;0.4
Moses Malone;27;PHI;25.1;21.6;5.1;1.4;3
Larry Nance;23;PHO;18.7;13.5;9.7;1.6;4.2
Kiki Vandeweghe;24;DEN;21.8;7.6;9.8;1;0.7
Magic Johnson;23;LAL;23;13;34.4;2.8;0.9
Calvin Natt;26;POR;19;11.7;9.1;1;0.6
Bill Laimbeer;25;DET;16.6;18;12.1;0.8;2.2
Jeff Ruland;24;WSB;19.4;16.8;12.9;1.2;1.5
Reggie Theus;25;CHI;19.2;5.6;27.1;2.3;0.3
Marques Johnson;26;MIL;21.1;10.8;20.3;1.7;1.1
Greg Ballard;28;WSB;16.8;9.9;14.8;2.3;0.5
George Gervin;30;SAS;20.5;6.9;14;1.4;1.3
Dan Roundfield;29;ATL;18.8;16.6;12.4;1;2.3
Mike Mitchell;27;SAS;16.9;10.4;5.1;0.9;1
Artis Gilmore;33;SAS;21.2;19.2;6.1;0.7;3.7
Darrell Griffith;24;UTA;15.8;5.6;15.6;2.2;0.6
Mark Aguirre;23;DAL;20.5;9.8;18.2;1.3;0.5
Rickey Green;28;UTA;17.2;4.1;34.5;3.5;0.1
Clark Kellogg;21;IND;20.3;16.8;11.7;2.4;0.9
Gus Williams;29;SEA;20.5;4;34.8;3.1;0.5
Jim Paxson;25;POR;20.1;3.6;13.5;2.4;0.3
Jay Vincent;23;DAL;17.1;11.7;11.1;1.2;0.9
Gene Banks;23;SAS;16.7;12.3;13.7;1.3;0.4
Geoff Huston;25;CLE;12.6;3.3;26.5;1.3;0.1
Norm Nixon;27;LAL;13.9;4.2;25.8;1.8;0.1
Sidney Moncrief;25;MIL;22.6;8.9;16.9;2;0.5
Dominique Wilkins;23;ATL;16.6;9.4;7.7;1.5;1.3
Larry Drew;24;KCK;18.1;4.2;31.6;2.1;0.2
Tom Chambers;23;SDC;15.1;11.1;10;1.4;1.3
T.R. Dunn;27;DEN;11.4;11.8;7.9;2.4;0.5
Darwin Cook;24;NJN;14.3;5.2;23.6;3.4;1.1
Allen Leavell;25;HOU;15.8;4;30.1;3;0.3
Cliff Robinson;22;CLE;17.5;18.7;9.3;1.2;1.3
Maurice Lucas;30;PHO;16.1;17.1;11.9;1;0.9
Lonnie Shelton;27;SEA;12.7;10.3;12.5;1.4;1.5
Jack Sikma;27;SEA;19.6;17.8;12.6;1.6;1.3
Kareem Abdul-Jabbar;35;LAL;23.6;12.8;10.8;1.1;3.5
Johnny Moore;24;SAS;17.5;5.9;37.8;3.5;0.7
Jamaal Wilkes;29;LAL;17.6;7.4;9.7;1.2;0.4
Dennis Johnson;28;PHO;14.8;7.2;20.4;1.8;0.9
Terry Tyler;26;DET;15.1;11;8.3;1.8;3.3
Terry Cummings;21;SDC;22.8;16.7;10.9;2.4;1.4
Herb Williams;24;IND;17.4;12.5;14.8;1;3.8
Vinnie Johnson;26;DET;17.6;7.3;17;1.7;1
Dave Corzine;26;CHI;15.1;15.4;8.7;0.9;2.3
Walter Davis;28;PHO;19.1;4.4;25.1;2.2;0.3
Andrew Toney;25;PHI;17.9;4.8;22.5;1.5;0.4
Tree Rollins;27;ATL;15.4;16;4.1;1;7.8
Bill Cartwright;25;NYK;19;14;8.6;0.8;3.2
Maurice Cheeks;26;PHI;18.6;4.5;29.6;3.5;0.7
Robert Parish;29;BOS;23;18.1;8.4;1.5;3.3
Michael Brooks;24;SDC;15.2;12.1;14.2;2.1;0.9
Alvan Adams;28;PHO;16.8;12.4;21.8;2.2;1.7
Albert King;23;NJN;15.6;10.5;18.2;1.8;1
Caldwell Jones;32;HOU;12.3;14.7;7.9;0.9;3
Jerry Sichting;26;IND;11.7;3.4;22.1;2;0
Dan Issel;34;DEN;21.6;12.4;12.6;1.5;0.9
Truck Robinson;31;NYK;10.7;15.9;8.6;1.2;0.6
Mike Woodson;24;KCK;18.9;5.5;15;2.5;1.4
Julius Erving;32;PHI;23.1;10.7;16.5;2.2;3
Purvis Short;25;GSW;17.6;8;14.2;1.8;0.3
Dave Greenwood;25;CHI;13;17.4;8.5;1;2
Rolando Blackman;23;DAL;17;6.7;11.1;0.7;0.7
Kevin McHale;25;BOS;17.6;12.7;6.1;0.7;4.5
Kenny Carr;27;POR;13.7;14.2;6.9;1.3;1
Ben Poquette;27;UTA;13.4;11.4;9.6;1.2;2.5
Frank Johnson;24;WSB;12.9;4.2;33.9;2.3;0.1
Brad Davis;27;DAL;17.9;4.6;31.3;1.6;0.3
Pat Cummings;26;DAL;14.6;15.5;8.4;1.1;0.8
Jeff Wilkins;27;UTA;11.6;13.2;7.9;0.8;0.9
Elvin Hayes;37;HOU;14.7;14.3;10.4;1;2
George Johnson;26;IND;12.7;12.8;12.7;1.5;1.3
Billy Knight;30;IND;18.7;7.7;12;1.3;0.2
Cedric Maxwell;27;BOS;14.7;10.1;10.5;1.3;1
Kelly Tripucka;23;DET;19.8;6.1;15.9;1.3;0.5
Wally Walker;28;HOU;10.1;8.9;12.9;0.8;0.5
Bernard King;26;NYK;20.3;8.7;16;2;0.4
Rod Higgins;23;CHI;12.7;8.9;10.7;1.4;1.6
Ray Williams;28;KCK;14.4;8.1;35.1;2.5;0.7
David Thompson;28;SEA;16.1;6.7;14.7;1;0.8
Michael Cooper;26;LAL;13.5;7.1;16.7;2.5;1.2
Lorenzo Romar;24;GSW;12.3;3.5;27;2.1;0.1
Wayne Cooper;26;POR;12.4;16.3;7.6;0.6;3.6
Darryl Dawkins;26;NJN;13.2;11.3;7.8;1.5;4.2
Quintin Dailey;22;CHI;14.1;6.7;20.3;1.6;0.3
Joe Bryant;28;HOU;10.4;7.2;13.3;1.9;0.8
Danny Vranes;24;SEA;10.6;11;7.3;1.2;1.3
Danny Ainge;23;BOS;13.2;5.6;16.1;2.5;0.2
Craig Hodges;22;SDC;10.3;3.4;18;1.9;0.1
Fat Lever;22;POR;14.8;6.2;28.2;3.6;0.4
Paul Westphal;32;NYK;14.1;3.4;33.4;2.2;0.5
James Worthy;21;LAL;17.4;11.2;8.6;2.1;1.7
Phil Hubbard;26;CLE;13.9;13.7;6.7;2.2;0.2
World B. Free;29;CLE;19.3;4.6;18.1;2.1;0.4
Otis Birdsong;27;NJN;15.1;4.5;19.1;2.1;0.5
Alton Lister;24;MIL;13.8;16.6;8;1.3;5.2
Junior Bridgeman;29;MIL;16.1;7.3;17.1;1;0.3
Lionel Hollins;29;SDC;12.8;4;27.2;2.8;0.4
Kyle Macy;25;PHO;16.1;5;21;1.6;0.2
Trent Tucker;23;NYK;11.6;6.9;16.1;1.5;0.2
Al Wood;24;SDC;13;7.4;10.1;1.4;1.2
Mark Olberding;26;CHI;11;10.5;9.6;1.2;0.3
Eddie Johnson;27;ATL;16;3.6;27.7;1.6;0.2
Tiny Archibald;34;BOS;12.3;2.7;28;1;0.1
Kurt Rambis;24;LAL;14.1;16.3;5.7;2.7;1.9
James Donaldson;25;SEA;15.6;14.9;7.3;0.5;3
Clint Richardson;26;PHI;11.4;7.4;12.6;1.9;0.6
Bobby Jones;31;PHI;16.4;10.4;10.6;2.3;2.9
Butch Carter;24;IND;14.9;4.7;15.5;2.1;0.4
James Bailey;25;HOU;16;14.6;6;1.2;1.9
Terry Teagle;22;HOU;10.3;6.1;13.5;1.5;0.6
Joe Meriweather;29;KCK;12.8;13.4;4.8;1.2;2.8
Bob Wilkerson;28;CLE;9.2;8.1;15.9;2;0.5
Louis Orr;24;NYK;13.3;8;8.5;1.9;0.9
Ed Nealy;22;KCK;11.6;16;4.4;1.9;0.4
Danny Schayes;23;UTA;11.7;14;13.4;1.1;2.1
Orlando Woolridge;23;CHI;17;9.8;8.9;1.1;1.4
Ed Sherod;23;NYK;11.4;5.4;26.6;2.9;0.5
Mike Dunleavy;28;SAS;14;4.5;33.6;2.1;0.1
Marc Iavaroni;26;PHI;7.3;10.8;6.4;0.9;1.5
Kelvin Ransey;24;DAL;15.7;4.9;24.3;1.7;0.1
Jerry Eaves;23;UTA;13;3.9;18.5;1.4;0.1
Don Collins;24;WSB;15.5;7.4;13.4;2.7;1.1
Quinn Buckner;28;BOS;11.5;6.4;22.6;3.2;0.2
Billy McKinney;27;DEN;13.2;3.9;22.2;1.1;0.2
Harvey Catchings;31;MIL;9.8;14.4;6;0.8;5.3
Gerald Henderson;27;BOS;12.1;4.3;16.7;2.8;0.1
Rory Sparrow;24;ATL;13.7;4.8;22.7;2.2;0
Bill Hanzlik;25;DEN;10.6;7.7;19.7;2.1;0.5
Steve Johnson;25;KCK;18.1;13.9;8.8;1.2;3
Sam Williams;23;GSW;15.6;13.9;3.9;2.1;3.2
Mark Eaton;26;UTA;11;15.4;9.2;0.7;9.2
Paul Pressey;24;MIL;12.8;10.1;18.3;3.1;1.7
Kurt Nimphius;24;DAL;12.5;14.4;9.3;0.7;4
Greg Kelser;25;SEA;14.7;14.3;8.6;1.6;1.2
John Long;26;DET;10.8;6.3;10.1;1.3;0.4
Marvin Webster;30;NYK;14;17.7;4.7;1.2;5.5
Johnny Davis;27;ATL;16.8;4.6;32;1.4;0.3
Phil Ford;26;MIL;10.6;3.6;23.4;1.5;0.1
Rob Williams;21;DEN;10.7;4.8;28.8;2.6;0.4
Ricky Sobers;30;WSB;12.8;3.9;22.6;2;0.6
Ronnie Lester;24;CHI;13.4;6.4;30.9;1.6;0.2
Marty Byrnes;26;IND;9.6;7.2;15.1;1.3;0.2
John Duren;24;IND;8.2;4;17;2.1;0.2
Larry Smith;25;GSW;13.2;18.3;4.1;1.2;0.8
Fred Brown;34;SEA;17.7;3.6;26;1.9;0.5
Calvin Murphy;34;HOU;14.8;2.8;18.2;1.9;0.2
Ernie Grunfeld;27;NYK;8.9;6.7;13.5;1.4;0.4
Lester Conner;23;GSW;14;8.4;21.9;3.8;0.3
Bill Garnett;22;DAL;15;15.5;9;1.6;2.7
Ron Brewer;27;GSW;11.8;4.1;6.6;2.3;0.8
Foots Walker;31;NJN;11.4;5.5;23.5;2.6;0.1
Sly Williams;25;NYK;18.2;12.3;16;2.6;0.1
Tom McMillen;30;ATL;10.8;8.5;7.9;0.6;1
Brian Winters;30;MIL;12.1;4.4;16.6;1.6;0.2
Lewis Lloyd;23;GSW;17.1;10.4;13.8;2.1;1.3
Tracy Jackson;23;CHI;11.9;7.3;10.9;2.2;0.4
Darnell Valentine;23;POR;17.3;5.1;31.6;3.7;0.2
Scott Wedman;30;CLE;13.7;9.2;11;0.9;0.5
Richard Anderson;22;SDC;10.4;12.2;12.1;2.1;1.2
Franklin Edwards;23;PHI;14.2;3.5;24;3;0.3
Randy Smith;34;SDC;14.9;4;21.1;2;0
Mike Gminski;23;NJN;18.4;17.2;6.7;1.3;5.4
Phil Smith;30;SEA;11.7;5.6;22.8;1.7;0.3
Sam Lacey;34;CLE;6.5;10.7;13.1;1.2;1.2
Clemon Johnson;26;IND;16.8;14.1;12.4;1.9;2.9
John Drew;28;UTA;19.6;9.9;12.8;1.3;0.3
Wes Matthews;23;ATL;11.9;4.1;29.8;2.5;0.4
Rudy Macklin;24;ATL;10.9;8.6;8.6;1.7;0.5
Charles Davis;24;WSB;13.1;10.2;10.2;1.3;1.1
Johnny High;25;PHO;8.6;7.2;16.3;3.5;1.6
J.J. Anderson;22;UTA;14.2;12.5;7.8;2.4;0.9
Alvin Scott;27;PHO;11.8;10.9;10.8;2;1.5
Glen Gondrezick;27;DEN;13.5;13.5;10;3;0.4
Mike Glenn;27;ATL;15.1;4.3;17.3;1.3;0.5
Bill Walton;30;SDC;18;16.7;14.9;1.4;6.3
Micheal Ray Richardson;27;GSW;13.6;7.3;30.3;4.3;0.5
Bill Willoughby;25;SAS;9.1;9.8;6.5;1;0.8
Steve Hayes;27;CLE;8.2;12.7;4.7;0.8;2.3
Edgar Jones;26;DET;13.5;13.6;8.6;1.2;3.9
Bob McAdoo;31;LAL;20.6;13.4;5.3;1.8;2.1
Dave Cowens;34;MIL;12.6;14.8;10.9;1.4;0.8
Micheal Ray Richardson;27;NJN;14.2;8.5;25.9;3.7;0.9
Mickey Johnson;30;NJN;16.1;12.7;20.8;2.6;1.2
Reggie King;25;KCK;10.5;13;7;1.3;0.6
Reggie Johnson;25;KCK;12.2;11;6.4;0.8;1.5
John Bagley;22;CLE;11.7;5.5;25.5;2.7;0.3
Earl Cureton;25;PHI;8.1;14.4;5.5;1.8;1.3
LaSalle Thompson;21;KCK;14.7;20.5;4.2;1.8;3.5
Bob Lanier;34;MIL;14.5;11.2;15.1;1.7;1.4
Len Elmore;30;NJN;8.2;13.8;5.1;2.1;2.3
Paul Griffin;29;SAS;8.9;12.3;10.3;1.6;1.4
Charlie Criss;34;MIL;14.5;4.7;19.8;1.4;0
Jerome Whitehead;26;SDC;15.4;16.4;6.3;1.1;1
Mickey Johnson;30;GSW;16.5;14.8;15.1;1.3;1.4
Adrian Dantley;26;UTA;24.4;8;18.8;1;0
M.L. Carr;32;BOS;9.7;8.3;10.3;2.5;0.6
Rory Sparrow;24;NYK;12.3;5.9;26.5;2.1;0.3
Cliff Levingston;22;DET;12.9;13.7;7.8;1.2;2.2
Elston Turner;23;DAL;9;9.3;12.2;2.5;0
Major Jones;29;HOU;11.9;16;6.5;1.2;1.4
Steve Hawes;32;ATL;8;14.1;9.3;1.6;0.5
Rick Robey;27;BOS;8.6;13.8;9.3;0.7;0.5
Kevin Loder;23;KCK;10.9;8.3;11.4;1.6;0.5
Mike O'Koren;24;NJN;13.4;8;14.2;2.4;0.8
Steve Mix;35;MIL;15.1;9.4;12.1;2;0.2
Tom Henderson;31;HOU;11.5;4.7;24.6;2.2;0.1
Jeff Cook;26;CLE;12.9;15;7.9;1.7;1.3
Rich Kelley;29;UTA;13.2;15.2;12.6;1.9;1.4
Spencer Haywood;33;WSB;10;13.1;5.7;0.7;2
Jeff Taylor;23;HOU;7.9;5.4;18.6;2.4;1.1
Walker Russell;22;DET;5.3;5;21;1;0.1
Kevin Grevey;29;WSB;9.5;3.6;9.5;1.1;0.5
Sleepy Floyd;22;GSW;15;6.8;12.7;2.4;0.6
Rickey Brown;24;GSW;9.1;13;2.8;0.5;1.6
Bryan Warrick;23;WSB;6.5;5.3;23.3;1.4;0.6
Tom Owens;33;DET;8.7;13.3;7.6;0.8;1
Jim Spanarkel;25;DAL;12.2;6.3;13.4;1.7;0.2
Ray Tolbert;24;SEA;9.7;11.3;5.7;1;1.8
Dave Robisch;33;DEN;10.3;10.7;8.6;0.6;0.6
Russ Schoene;22;PHI;9.8;11.6;6;0.9;0.7
World B. Free;29;GSW;15.9;3.4;18.6;1;0.2
Bruce Flowers;25;CLE;15.2;14.7;10.1;1.3;1
Clemon Johnson;26;PHI;12.8;15.5;4.4;1.1;2.3
Mike Evans;27;DEN;8.9;4.2;19.5;1.4;0.2
Billy Paultz;34;HOU;9.6;12.9;11.4;0.8;1
Jeff Lamp;23;POR;10;6.2;11.7;1.4;0.2
Dudley Bradley;25;CHI;12.6;8.2;20.2;3.2;0.8
Brad Branson;24;IND;16;13.7;9.1;1.8;2.1
Dwight Jones;30;CHI;9.5;15.5;7.8;1.2;1.1
Danny Schayes;23;DEN;13.2;14.6;7.5;1;2.3
Don Buse;32;POR;13.8;4.7;23.4;3.3;0.2
Lowes Moore;25;SDC;8.8;4.9;14.4;1.6;0.1
Rory White;23;PHO;14.7;9.3;6.9;1.2;0.2
Larry Kenon;30;CLE;13.2;10.7;8.2;1.7;0.8
Edgar Jones;26;SAS;14.7;15.5;4.1;1;2.7
Brook Steppe;23;KCK;11.5;6.5;14;1.9;0.3
Kent Benson;28;DET;13.2;13.5;10.6;1.1;1.5
Roger Phegley;26;SAS;13;7.6;13.6;2.3;0.7
Paul Mokeski;26;MIL;6.9;11.4;5.1;0.7;2
Rich Kelley;29;DEN;10.9;15.4;11.6;1.6;1.6
Ron Brewer;27;CLE;10.8;3.7;7.4;1.7;0.6
Dave Batton;26;WSB;10.4;11.8;7.6;1.3;1.3
Steve Hawes;32;SEA;9.7;12.7;8.3;0.8;0.6
