Player;Age;Tm;PER;TRB%;AST%;STL%;BLK%
Butch Beard;30;NYK;14.6;6.9;21.5;2.6;0.1
Jim McMillian;29;NYK;12.5;7.6;12.8;1.7;0.4
Robert Parish;24;GSW;17.2;17.5;7;1.8;3.4
Fred Brown;29;SEA;19.6;4.9;19.9;2.6;0.7
Don Ford;25;LAL;11.6;9.3;9.1;1.6;1.2
Charlie Criss;29;ATL;14.8;3.4;22.5;2.6;0.2
Bill Walton;25;POR;24.8;20.7;22.8;1.4;4.1
Ron Lee;25;PHO;16.2;6.8;21.8;5;0.5
Alvan Adams;23;PHO;17.7;15.2;16.4;1.9;1.7
Otis Birdsong;22;KCK;17.1;4.8;14.1;1.7;0.3
Junior Bridgeman;24;MIL;17;8.2;13.4;1.7;0.8
Coby Dietrick;29;SAS;11.3;10;14;1.9;1.4
Eddie Johnson;22;ATL;13.6;4.4;18.9;2.5;0.1
Earl Tatum;24;IND;14.2;5.4;17.6;2.5;0.8
Paul Griffin;24;NOJ;10.9;13.2;11.4;2.1;1.2
Robert Reid;22;HOU;11.3;10.3;8.7;1.7;1.5
Dave Twardzik;27;POR;14.3;3.8;17.5;2.7;0.1
Steve Mix;30;PHI;14.8;8.3;12.7;2.1;0.1
John Johnson;30;SEA;11.9;8.6;17;1.1;0.6
Scott May;23;CHI;12.7;10;9.2;1.3;0.2
E.C. Coleman;27;GSW;9.1;10.6;7.1;1.7;0.7
Jim Brewer;26;CLE;10.5;13.9;7;1.5;1.4
Tree Rollins;22;ATL;15.6;16.7;6.3;1.5;7.2
Mark Olberding;21;SAS;12.1;11;8.9;1.1;0.7
John Mengelt;28;CHI;14.5;4;19.9;1.4;0.1
Spencer Haywood;28;NYK;15.7;12.9;9.9;0.9;2.1
Jim McElroy;24;NOJ;13.6;4;22.5;1.5;1
Mitch Kupchak;23;WSB;17.7;12.9;5.9;0.7;1.2
Bill Robinzine;25;KCK;13.6;15.8;5.6;1.9;0.3
Darryl Dawkins;21;PHI;18;16.3;6.8;0.9;3.7
Tom Owens;28;POR;17.4;16.4;13;0.9;1.2
Wil Jones;30;BUF;9.4;10.5;9.3;1.9;1.3
Ollie Johnson;28;ATL;13.9;8.3;10.5;2.2;1.3
Tom McMillen;25;ATL;13.3;13.5;7.4;0.9;0.6
James Edwards;22;IND;14.8;12.6;4.9;1;1.5
Walt Frazier;32;CLE;17.5;6.4;18.5;2.1;0.4
Charles Dudley;27;GSW;13.4;8.8;29.8;1.9;0.1
Jo Jo White;31;BOS;11.9;5.6;18.1;1.4;0.2
Caldwell Jones;27;PHI;11.3;17.6;6.9;0.7;4
Dennis Awtrey;29;PHO;6.1;9.6;11.5;0.5;0.8
Anthony Roberts;22;DEN;12.2;11.3;9.4;1.1;0.2
John Brown;26;ATL;11.4;10.3;9.1;1.6;0.3
Bingo Smith;31;CLE;14.3;6.6;8.9;1.1;0.7
Alex English;24;MIL;17.4;13.4;11.4;1.2;1.8
Ray Williams;23;NYK;14.5;7;30.9;3;0.5
Alvin Scott;22;PHO;12.3;11.9;6.9;1.5;1.3
Tom Burleson;25;KCK;16.5;16.2;11.3;1.8;2.8
Jamaal Wilkes;24;LAL;16.1;13;16.1;2.3;0.7
Allan Bristow;26;SAS;14.6;9.1;16.7;2.1;0.1
Tim Bassett;26;NJN;8.6;13.3;5.4;1.8;1.2
Larry Wright;23;WSB;13.7;3.4;25;2.1;0.5
John Williamson;26;IND;12;4;14;1.4;0
Jan Van Breda Kolff;26;NJN;7.5;8.3;9.1;1.6;1.7
Charlie Scott;29;LAL;12.3;5.4;21.6;1.9;0.4
Marvin Barnes;25;BUF;14.1;13.6;12.2;1.9;2.7
Corky Calhoun;27;POR;10.8;8.2;8.2;1.4;0.6
Len Elmore;25;IND;12.5;15.4;7.8;2.5;2.8
Bruce Seals;24;SEA;10.3;8.7;8.8;1.4;1.3
Tom Abernethy;23;LAL;15.6;10.3;9.7;1.9;0.8
Kent Benson;23;MIL;13.2;12.1;9.8;2.4;2.2
John Williamson;26;NJN;18.5;4;10.9;1.6;0.4
Joe Meriweather;24;NOJ;13.7;14;6.1;0.6;4.6
Al Skinner;25;DET;10;7.1;11.8;1.8;0.6
Lloyd Walton;24;MIL;11.3;3.2;24.1;2.7;0.5
Ernie Grunfeld;22;MIL;12;8.1;14.6;1.9;0.8
Joe Bryant;23;PHI;12.6;11.5;13.7;2;1
Brian Taylor;26;DEN;11.6;4.1;14.5;2.6;0.4
